event_name,start_date,end_date,announcement_date
Section 232 Steel Tariffs (25%),3/23/2018,3/12/2025,3/1/2018
Section 232 Aluminum Tariffs (10%),3/23/2018,3/12/2025,3/1/2018
Section 301 China Tariffs List 1 (25% on $34B),7/6/2018,Present,6/15/2018
Section 301 China Tariffs List 2 (25% on $16B),8/23/2018,Present,6/15/2018
Section 301 China Tariffs List 3 (10% to 25% on $200B),9/24/2018,Present,9/17/2018
Section 301 China Tariffs List 4a (15% to 7.5% on $112B),9/1/2019,Present,8/13/2019
Expanded Section 232 Steel and Aluminum Tariffs (Second Trump),3/12/2025,Present,2/10/2025
Second Trump China Tariffs (20%),2/4/2025,Present,1/24/2025
Second Trump Canada/Mexico Tariffs (25%),3/4/2025,Present,2/27/2025
"Universal 10% Import Duty (Liberation Day"" Tariffs)""",4/5/2025,Present,4/2/2025
